model,threshold,cost,true_negatives,false_positives,false_negatives,true_positives,precision,recall,f1
Logistic Regression,0.4576023391812865,2758.0,2254,1278,296,672,0.3446153846153846,0.6942148760330579,0.46058944482522274
Logistic Regression,0.46257309941520464,2767.0,2275,1257,302,666,0.3463338533541342,0.6880165289256198,0.46074022829470773
Logistic Regression,0.46754385964912276,2779.0,2308,1224,311,657,0.3492822966507177,0.6787190082644629,0.4612144612144612
Logistic Regression,0.4725146198830409,2762.0,2335,1197,313,655,0.3536717062634989,0.6766528925619835,0.4645390070921986
Logistic Regression,0.477485380116959,2762.0,2355,1177,317,651,0.3561269146608315,0.6725206611570248,0.4656652360515021
Logistic Regression,0.48245614035087714,2774.0,2373,1159,323,645,0.3575388026607539,0.6663223140495868,0.4653679653679654
Logistic Regression,0.48742690058479526,2786.0,2386,1146,328,640,0.3583426651735722,0.6611570247933884,0.4647785039941903
Logistic Regression,0.4923976608187134,2808.0,2409,1123,337,631,0.3597491448118586,0.6518595041322314,0.4636296840558413
Logistic Regression,0.4973684210526315,2831.0,2426,1106,345,623,0.3603238866396761,0.643595041322314,0.46199480904708934
Logistic Regression,0.5023391812865496,2815.0,2452,1080,347,621,0.36507936507936506,0.6415289256198347,0.4653428250281004
Logistic Regression,0.5073099415204678,2810.0,2472,1060,350,618,0.36829558998808104,0.6384297520661157,0.4671201814058957
Logistic Regression,0.5122807017543859,2804.0,2498,1034,354,614,0.3725728155339806,0.6342975206611571,0.4694189602446483
Logistic Regression,0.5172514619883041,2799.0,2518,1014,357,611,0.376,0.631198347107438,0.4712688006170459
Logistic Regression,0.5222222222222221,2794.0,2548,984,362,606,0.38113207547169814,0.6260330578512396,0.473807662236122
Logistic Regression,0.5271929824561403,2829.0,2568,964,373,595,0.3816549069916613,0.6146694214876033,0.4709141274238227
Logistic Regression,0.5321637426900585,2818.0,2594,938,376,592,0.3869281045751634,0.6115702479338843,0.4739791833466773
Logistic Regression,0.5371345029239766,2831.0,2611,921,382,586,0.38885202388852025,0.6053719008264463,0.47353535353535353
Logistic Regression,0.5421052631578948,2841.0,2626,906,387,581,0.39071956960322796,0.6002066115702479,0.4733197556008147
Logistic Regression,0.5470760233918128,2849.0,2653,879,394,574,0.39504473503097043,0.5929752066115702,0.4741842213961173
