model,threshold,cost,true_negatives,false_positives,false_negatives,true_positives,precision,recall,f1
XGBoost,0.39795321637426895,2730.0,2227,1305,285,683,0.34356136820925554,0.7055785123966942,0.4621109607577808
XGBoost,0.4029239766081871,2719.0,2248,1284,287,681,0.3465648854961832,0.7035123966942148,0.4643709512444596
XGBoost,0.4078947368421052,2725.0,2272,1260,293,675,0.3488372093023256,0.6973140495867769,0.46503616947984844
XGBoost,0.4128654970760233,2721.0,2291,1241,296,672,0.3512807109252483,0.6942148760330579,0.4665046858729608
XGBoost,0.41783625730994145,2736.0,2306,1226,302,666,0.35200845665961944,0.6880165289256198,0.46573426573426574
XGBoost,0.42280701754385963,2764.0,2328,1204,312,656,0.35268817204301073,0.6776859504132231,0.4639321074964639
XGBoost,0.42777777777777776,2777.0,2350,1182,319,649,0.3544511196067723,0.6704545454545454,0.46373704894605217
XGBoost,0.4327485380116959,2808.0,2369,1163,329,639,0.3546059933407325,0.6601239669421488,0.46137184115523466
XGBoost,0.437719298245614,2811.0,2396,1136,335,633,0.3578292820802713,0.6539256198347108,0.46255023748629887
XGBoost,0.44269005847953213,2812.0,2415,1117,339,629,0.3602520045819015,0.6497933884297521,0.46352247605011054
XGBoost,0.44766081871345026,2824.0,2433,1099,345,623,0.3617886178861789,0.643595041322314,0.46319702602230484
XGBoost,0.4526315789473684,2832.0,2450,1082,350,618,0.3635294117647059,0.6384297520661157,0.46326836581709147
XGBoost,0.4576023391812865,2851.0,2466,1066,357,611,0.3643410852713178,0.631198347107438,0.4620037807183365
XGBoost,0.46257309941520464,2850.0,2482,1050,360,608,0.36670687575392036,0.628099173553719,0.4630616907844631
XGBoost,0.46754385964912276,2854.0,2503,1029,365,603,0.3694852941176471,0.6229338842975206,0.46384615384615385
XGBoost,0.4725146198830409,2862.0,2520,1012,370,598,0.37142857142857144,0.6177685950413223,0.46392552366175327
XGBoost,0.477485380116959,2865.0,2537,995,374,594,0.3738200125865324,0.6136363636363636,0.46460696128275325
XGBoost,0.48245614035087714,2874.0,2558,974,380,588,0.3764404609475032,0.6074380165289256,0.46482213438735176
XGBoost,0.48742690058479526,2876.0,2581,951,385,583,0.38005215123859193,0.6022727272727273,0.4660271782573941
XGBoost,0.4923976608187134,2871.0,2596,936,387,581,0.3829927488464074,0.6002066115702479,0.4676056338028169
XGBoost,0.4973684210526315,2862.0,2620,912,390,578,0.38791946308724834,0.5971074380165289,0.47030105777054515
XGBoost,0.5023391812865496,2852.0,2635,897,391,577,0.3914518317503392,0.5960743801652892,0.4725634725634726
XGBoost,0.5073099415204678,2891.0,2651,881,402,566,0.39115411195577054,0.5847107438016529,0.46873706004140786
XGBoost,0.5122807017543859,2897.0,2665,867,406,562,0.3932820153953814,0.5805785123966942,0.4689194826866917
XGBoost,0.5172514619883041,2892.0,2690,842,410,558,0.3985714285714286,0.5764462809917356,0.47128378378378377
XGBoost,0.5222222222222221,2903.0,2714,818,417,551,0.4024835646457268,0.5692148760330579,0.4715447154471545
XGBoost,0.5271929824561403,2906.0,2731,801,421,547,0.40578635014836795,0.5650826446280992,0.47236614853195164
XGBoost,0.5321637426900585,2924.0,2743,789,427,541,0.4067669172932331,0.5588842975206612,0.47084421235857266
XGBoost,0.5371345029239766,2912.0,2765,767,429,539,0.4127105666156202,0.5568181818181818,0.47405452946350046
XGBoost,0.5421052631578948,2926.0,2776,756,434,534,0.413953488372093,0.5516528925619835,0.47298494242692646
XGBoost,0.5470760233918128,2938.0,2789,743,439,529,0.4158805031446541,0.5464876033057852,0.47232142857142856
XGBoost,0.552046783625731,2945.0,2807,725,444,524,0.41953562850280224,0.5413223140495868,0.4727108705457826
XGBoost,0.5570175438596491,2936.0,2826,706,446,522,0.4250814332247557,0.5392561983471075,0.47540983606557374
XGBoost,0.5619883040935673,2936.0,2836,696,448,520,0.4276315789473684,0.5371900826446281,0.47619047619047616
XGBoost,0.5669590643274853,2960.0,2852,680,456,512,0.42953020134228187,0.5289256198347108,0.4740740740740741
XGBoost,0.5719298245614035,2968.0,2864,668,460,508,0.43197278911564624,0.5247933884297521,0.47388059701492535
XGBoost,0.5769005847953216,2979.0,2883,649,466,502,0.43614248479582973,0.518595041322314,0.4738084001887683
XGBoost,0.5818713450292398,2992.0,2895,637,471,497,0.4382716049382716,0.5134297520661157,0.47288296860133205
XGBoost,0.5868421052631579,3012.0,2905,627,477,491,0.43917710196779963,0.5072314049586777,0.4707574304889741
XGBoost,0.591812865497076,3042.0,2915,617,485,483,0.4390909090909091,0.4989669421487603,0.4671179883945841
XGBoost,0.5967836257309942,3049.0,2938,594,491,477,0.44537815126050423,0.4927685950413223,0.4678764100049044
XGBoost,0.6017543859649123,3076.0,2956,576,500,468,0.4482758620689655,0.4834710743801653,0.46520874751491054
XGBoost,0.6067251461988304,3096.0,2966,566,506,462,0.4494163424124514,0.4772727272727273,0.46292585170340683
XGBoost,0.6116959064327485,3118.0,2989,543,515,453,0.45481927710843373,0.46797520661157027,0.46130346232179226
XGBoost,0.6166666666666667,3113.0,3004,528,517,451,0.4606741573033708,0.4659090909090909,0.4632768361581921
XGBoost,0.6216374269005848,3169.0,3018,514,531,437,0.45951629863301785,0.45144628099173556,0.45544554455445546
XGBoost,0.626608187134503,3194.0,3028,504,538,430,0.4603854389721627,0.44421487603305787,0.45215562565720296
XGBoost,0.631578947368421,3198.0,3049,483,543,425,0.46806167400881055,0.4390495867768595,0.453091684434968
XGBoost,0.6365497076023392,3204.0,3068,464,548,420,0.4751131221719457,0.43388429752066116,0.4535637149028078
XGBoost,0.6415204678362573,3221.0,3076,456,553,415,0.4764638346727899,0.4287190082644628,0.45133224578575315
XGBoost,0.6464912280701754,3246.0,3091,441,561,407,0.47995283018867924,0.42045454545454547,0.44823788546255505
XGBoost,0.6514619883040935,3265.0,3102,430,567,401,0.4825511432009627,0.4142561983471074,0.44580322401334077
XGBoost,0.6564327485380117,3300.0,3117,415,577,391,0.4851116625310174,0.40392561983471076,0.44081172491544535
XGBoost,0.6614035087719298,3318.0,3129,403,583,385,0.4885786802030457,0.3977272727272727,0.438496583143508
XGBoost,0.666374269005848,3325.0,3142,390,587,381,0.49416342412451364,0.39359504132231404,0.4381828637147786
XGBoost,0.671345029239766,3334.0,3153,379,591,377,0.49867724867724866,0.3894628099173554,0.43735498839907194
XGBoost,0.6763157894736842,3379.0,3163,369,602,366,0.49795918367346936,0.378099173553719,0.42982971227246036
XGBoost,0.6812865497076023,3392.0,3175,357,607,361,0.5027855153203342,0.37293388429752067,0.42823250296559906
XGBoost,0.6862573099415205,3411.0,3186,346,613,355,0.5064194008559201,0.36673553719008267,0.4254044337926902
XGBoost,0.6912280701754386,3426.0,3201,331,619,349,0.513235294117647,0.3605371900826446,0.42354368932038833
XGBoost,0.6961988304093567,3474.0,3213,319,631,337,0.5137195121951219,0.3481404958677686,0.41502463054187194
XGBoost,0.7011695906432749,3500.0,3222,310,638,330,0.515625,0.3409090909090909,0.41044776119402987
XGBoost,0.706140350877193,3526.0,3236,296,646,322,0.5210355987055016,0.33264462809917356,0.4060529634300126
XGBoost,0.7111111111111111,3549.0,3253,279,654,314,0.5295109612141653,0.3243801652892562,0.4023062139654068
XGBoost,0.7160818713450292,3597.0,3260,272,665,303,0.5269565217391304,0.3130165289256198,0.3927414128321452
XGBoost,0.7210526315789474,3610.0,3267,265,669,299,0.5301418439716312,0.30888429752066116,0.39033942558746737
XGBoost,0.7260233918128655,3622.0,3280,252,674,294,0.5384615384615384,0.3037190082644628,0.38837516512549536
XGBoost,0.7309941520467836,3651.0,3286,246,681,287,0.5384615384615384,0.2964876033057851,0.38241172551632246
XGBoost,0.7359649122807017,3667.0,3295,237,686,282,0.5433526011560693,0.29132231404958675,0.3792871553463349
XGBoost,0.7409356725146199,3686.0,3306,226,692,276,0.549800796812749,0.28512396694214875,0.37551020408163266
XGBoost,0.745906432748538,3715.0,3317,215,700,268,0.5548654244306418,0.2768595041322314,0.3694004135079256
XGBoost,0.7508771929824561,3750.0,3327,205,709,259,0.5581896551724138,0.2675619834710744,0.361731843575419
XGBoost,0.7558479532163742,3762.0,3335,197,713,255,0.5641592920353983,0.2634297520661157,0.3591549295774648
XGBoost,0.7608187134502924,3803.0,3349,183,724,244,0.5714285714285714,0.25206611570247933,0.34982078853046594
XGBoost,0.7657894736842105,3841.0,3356,176,733,235,0.5717761557177615,0.2427685950413223,0.34082668600435095
XGBoost,0.7707602339181286,3881.0,3361,171,742,226,0.5692695214105793,0.2334710743801653,0.3311355311355311
XGBoost,0.7757309941520467,3916.0,3371,161,751,217,0.5740740740740741,0.22417355371900827,0.3224368499257058
XGBoost,0.7807017543859649,3932.0,3385,147,757,211,0.5893854748603352,0.21797520661157024,0.31825037707390647
XGBoost,0.785672514619883,3946.0,3396,136,762,206,0.6023391812865497,0.2128099173553719,0.3145038167938931
XGBoost,0.7906432748538011,3991.0,3406,126,773,195,0.6074766355140186,0.20144628099173553,0.30256012412723043
XGBoost,0.7956140350877193,4027.0,3410,122,781,187,0.6051779935275081,0.19318181818181818,0.29287392325763506
XGBoost,0.8005847953216374,4067.0,3420,112,791,177,0.6124567474048442,0.1828512396694215,0.28162291169451076
XGBoost,0.8055555555555556,4089.0,3428,104,797,171,0.6218181818181818,0.17665289256198347,0.2751407884151247
XGBoost,0.8105263157894737,4102.0,3435,97,801,167,0.6325757575757576,0.1725206611570248,0.2711038961038961
XGBoost,0.8154970760233918,4141.0,3441,91,810,158,0.6345381526104418,0.16322314049586778,0.25965488907148726
XGBoost,0.8204678362573099,4209.0,3448,84,825,143,0.6299559471365639,0.14772727272727273,0.2393305439330544
XGBoost,0.8254385964912281,4218.0,3454,78,828,140,0.6422018348623854,0.1446280991735537,0.23608768971332209
XGBoost,0.8304093567251462,4257.0,3460,72,837,131,0.645320197044335,0.1353305785123967,0.2237403928266439
XGBoost,0.8353801169590643,4291.0,3466,66,845,123,0.6507936507936508,0.12706611570247933,0.212618841832325
XGBoost,0.8403508771929824,4331.0,3471,61,854,114,0.6514285714285715,0.11776859504132231,0.1994750656167979
XGBoost,0.8453216374269006,4358.0,3479,53,861,107,0.66875,0.11053719008264463,0.18971631205673758
XGBoost,0.8502923976608187,4401.0,3486,46,871,97,0.6783216783216783,0.10020661157024793,0.17461746174617462
XGBoost,0.8552631578947368,4447.0,3490,42,881,87,0.6744186046511628,0.08987603305785125,0.15861440291704648
XGBoost,0.8602339181286549,4474.0,3493,39,887,81,0.675,0.08367768595041322,0.1488970588235294
XGBoost,0.8652046783625731,4502.0,3500,32,894,74,0.6981132075471698,0.07644628099173553,0.1378026070763501
XGBoost,0.8701754385964912,4522.0,3505,27,899,69,0.71875,0.07128099173553719,0.12969924812030076
XGBoost,0.8751461988304093,4541.0,3506,26,903,65,0.7142857142857143,0.06714876033057851,0.12275731822474033
XGBoost,0.8801169590643274,4563.0,3509,23,908,60,0.7228915662650602,0.06198347107438017,0.11417697431018078
XGBoost,0.8850877192982456,4620.0,3517,15,921,47,0.7580645161290323,0.04855371900826446,0.0912621359223301
XGBoost,0.8900584795321637,4663.0,3519,13,930,38,0.7450980392156863,0.03925619834710744,0.0745829244357213
XGBoost,0.8950292397660818,4696.0,3521,11,937,31,0.7380952380952381,0.03202479338842975,0.061386138613861385
XGBoost,0.9,4725.0,3522,10,943,25,0.7142857142857143,0.025826446280991736,0.049850448654037885
